"Original File","Publication_Place","CountryCode","752string","752a","752b","752d","752e",7524,"FAST_URI","Geonames_URI","geonames_ID","latitude","longitude"
"Alma Data","A Utrecht","ne","Netherlands$dUtrecht,","Netherlands","no value","Utrecht,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204609","http://sws.geonames.org/2745912",2745912,52.09083,5.12222
"Alma Data","A. Paris","fr","France$dParis,","France","no value","Paris,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205283","http://sws.geonames.org/2988507",2988507,48.85341,2.3488
"Alma Data","Aberdeen","stk","Great Britain$bScotland$dAberdeen,","Great Britain","Scotland","Aberdeen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1209157","http://sws.geonames.org/2657832",2657832,57.14369,-2.09814
"LPN Master File","Aberdoniae","stk","Great Britain$bScotland$dAberdeen,","Great Britain","Scotland","Aberdeen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1209157","http://sws.geonames.org/2657832",2657832,57.14369,-2.09814
"LPN Master File","Aberdoniis","stk","Great Britain$bScotland$dAberdeen,","Great Britain","Scotland","Aberdeen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1209157","http://sws.geonames.org/2657832",2657832,57.14369,-2.09814
"LPN Master File","Aboae","fi","Finland$dTurku,","Finland","no value","Turku,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1208133","http://sws.geonames.org/633679",633679,60.45148,22.26869
"Alma Data","Agen","fr","France$dAgen","France","no value","Agen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1229257","http://www.geonames.org/3038634",3038634,44.20199,0.62055
"Alma Data","Aix en Provence","fr","France$dAix-en-Provence,","France","no value","Aix-en-Provence,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206083","http://sws.geonames.org/3038354",3038354,43.5283,5.44973
"Alma Data","Albany","nyu","New York (State)$dAlbany,","New York (State)","no value","Albany,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1225716","http://www.geonames.org/5106834",5106834,42.65258,-73.75623
"Alma Data","Albany N.Y.","nyu","New York (State)$dAlbany,","New York (State)","no value","Albany,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1225716","http://www.geonames.org/5106834",5106834,42.65258,-73.75623
"Alma Data","Albany printed","nyu","New York (State)$dAlbany,","New York (State)","no value","Albany,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1225716","http://www.geonames.org/5106834",5106834,42.65258,-73.75623
"Alma Data","Albi","fr","France$dAlbi,","France","no value","Albi,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1213039","http://www.geonames.org/3038261",3038261,43.9298,2.148
"Alma Data","Alcala de Nehaires","sp","Spain$dAlcalá de Henares,","Spain","no value","Alcalá de Henares,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205149","http://sws.geonames.org/3130616",3130616,40.48205,-3.35996
"LPN Master File","Alenthopoli","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"LPN Master File","Alentopholi","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"LPN Master File","Alentopoli","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"Alma Data","Alexandria","it","Italy$dAlessandria","Italy","no value","Alessandria,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1227508","http://sws.geonames.org/3183299",3183299,44.90924,8.61007
"LPN Master File","Alexandriae","it","Italy$dAlessandria","Italy","no value","Alessandria,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1227508","http://sws.geonames.org/3183299",3183299,44.90924,8.61007
"Alma Data","Altdorf","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorffi","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorffi","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorfi","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorfi","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorfi Noric","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altdorfi Noricorum","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altdorfii","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altdorfii Noric","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altdorfii Noricorum","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altdorphii","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altemburgae","au","Austria$dAltenburg (Horn),","Austria","no value","Altenburg (Horn),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313377","http://sws.geonames.org/2782697",2782697,48.64765,15.59295
"Alma Data","Altenburg","au","Austria$dAltenburg (Horn),","Austria","no value","Altenburg (Horn),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313377","http://sws.geonames.org/2782697",2782697,48.64765,15.59295
